TA-00001,8
TA-00002,8
TA-00003,8
TA-00004,8
TA-00005,8
TA-00006,8
TA-00007,8
TA-00008,8
TA-00009,1
TA-00011,1
TA-00012,8
TA-00013,1
TA-00014,8
TA-00015,1
TA-00016,8
TA-00017,3
TA-00018,1
TA-00020,1
TA-00021,1
TA-00022,1
TA-00023,1
TA-00024,8
TA-00025,8
TA-00026,5
TA-00027,1
TA-00028,2
TA-00029,8
TA-00030,4
TA-00031,6
TA-00032,1
TA-00033,8
TA-00034,6
TA-00035,5
TA-00036,8
TA-00037,1
TA-00038,1
TA-00039,8
TA-00040,8
TA-00041,1
TA-00042,5
TA-00043,4
TA-00044,7
TA-00045,5
TA-00046,1
TA-00047,1
TA-00048,1
TA-00049,5
TA-00050,1
TA-00052,8
TA-00053,8
TA-00054,4
TA-00055,1
TA-00056,8
TA-00057,8
TA-00058,4
TA-00059,8
TA-00060,8
TA-00061,8
TA-00062,1
TA-00063,1
TA-00064,1
TA-00066,1
TA-00067,3
TA-00068,1
TA-00069,1
TA-00070,2
TA-00071,4
TA-00072,8
TA-00073,1
TA-00074,2
TA-00075,8
TA-00076,8
TA-00077,4
TA-00078,8
TA-00079,8
TA-00080,8
TA-00081,8
TA-00082,8
TA-00083,8
TA-00084,8
TA-00085,8
TA-00086,8
TA-00087,8
TA-00088,1
TA-00089,8
TA-00090,8
TA-00091,8
TA-00092,8
TA-00093,8
TA-00094,8
TA-00095,4
TA-00096,8
TA-00097,8
TA-00098,1
TA-00099,8
TA-00100,8
TA-00101,1
TA-00103,1
TA-00104,3
TA-00105,5
TA-00107,4
TA-00108,8
TA-00109,8
TA-00110,1
TA-00112,1
TA-00113,8
TA-00114,2
TA-00115,2
TA-00116,4
TA-00117,3
TA-00118,8
TA-00119,8
TA-00120,8
TA-00121,8
TA-00122,8
TA-00123,8
TA-00124,1
TA-00125,8
TA-00126,9
TA-00127,8
TA-00128,4
TA-00129,1
TA-00130,6
TA-00131,8
TA-00132,8
TA-00133,8
TA-00134,8
TA-00135,6
TA-00136,1
TA-00137,3
TA-00138,3
TA-00139,2
TA-00140,3
TA-00141,5
TA-00142,6
TA-00143,1
TA-00144,3
TA-00145,8
TA-00146,8
TA-00147,8
TA-00148,8
TA-00149,8
TA-00150,8
TA-00152,5
TA-00153,8
TA-00154,4
TA-00156,5
TA-00157,8
TA-00158,8
TA-00159,8
TA-00160,8
TA-00161,8
TA-00162,3
TA-00163,3
TA-00164,1
TA-00165,1
TA-00166,1
TA-00167,1
TA-00168,1
TA-00169,1
TA-00170,8
TA-00171,8
TA-00172,8
TA-00173,8
TA-00174,8
TA-00175,8
TA-00176,8
TA-00177,8
TA-00178,2
TA-00179,8
TA-00180,1
TA-00181,4
TA-00182,5
TA-00183,4
TA-00184,8
TA-00185,8
TA-00186,8
TA-00187,1
TA-00188,4
TA-00189,8
TA-00190,8
TA-00191,8
TA-00192,8
TA-00193,3
TA-00198,8
TA-00199,10
TA-00201,1
TA-00202,1
TA-00203,8
TA-00204,5
TA-00205,8
TA-00206,5
TA-00207,2
TA-00208,1
TA-00209,1
TA-00210,1
TA-00211,1
TA-00212,1
TA-00213,2
TA-00214,1
TA-00215,1
TA-00216,1
TA-00217,2
TA-00218,1
TA-00219,1
TA-00220,4
TA-00221,1
TA-00222,8
TA-00224,3
TA-00225,1
TA-00226,4
TA-00227,5
TA-00228,2
TA-00229,1
TA-00230,1
TA-00238,1
TA-00239,2
TA-00240,1
TA-00241,1
TA-00242,3
TA-00243,1
TA-00244,1
TA-00245,1
TA-00246,1
TA-00247,1
TA-00248,1
TA-00249,8
TA-00251,2
TA-00252,3
TA-00253,4
TA-00254,1
TA-00255,1
TA-00257,8
TA-00258,8
TA-00259,8
TA-00260,8
TA-00261,8
TA-00262,8
TA-00263,8
TA-00264,8
TA-00265,8
TA-00266,6
TA-00267,5
TA-00268,1
TA-00269,1
TA-00270,8
TA-00271,5
TA-00272,1
TA-00273,6
TA-00274,6
TA-00275,4
TA-00276,8
TA-00277,4
TA-00278,4
TA-00279,8
TA-00280,5
TA-00281,1
TA-00282,1
TA-00283,1
TA-00284,4
TA-00285,1
TA-00286,1
TA-00287,1
TA-00288,1
TA-00289,1
TA-00292,3
TA-00293,8
TA-00294,8
TA-00295,3
TA-00296,8
TA-00297,8
TA-00298,8
TA-00299,3
TA-00300,3
TA-00303,2
TA-00304,1
TA-00305,4
TA-00306,1
TA-00307,1
TA-00308,8
TA-00309,1
TA-00310,1
TA-00311,8
TA-00312,8
TA-00313,8
TA-00314,8
TA-00315,8
TA-00316,2
TA-00319,8
TA-00320,6
TA-00321,6
TA-00322,8
TA-00323,5
TA-00324,1
TA-00325,5
TA-00326,5
TA-00327,4
TA-00328,4
TA-00329,4
TA-00330,4
TA-00331,1
TA-00332,1
TA-00334,8
TA-00335,8
TA-00336,8
TA-00337,8
TA-00338,8
TA-00339,8
TA-00340,2
TA-00341,8
TA-00342,7
TA-00348,1
TA-00349,6
TA-00350,1
TA-00351,1
TA-00352,1
TA-00353,1
TA-00354,1
TA-00355,1
TA-00356,1
TA-00357,1
TA-00358,1
TA-00362,6
TA-00363,6
TA-00364,5
TA-00365,1
TA-00366,2
TA-00367,4
TA-00368,5
TA-00369,5
TA-00370,8
TA-00371,4
TA-00372,1
TA-00373,3
TA-00374,1
TA-00375,4
TA-00376,1
TA-00377,4
TA-00378,1
TA-00380,8
TA-00381,6
TA-00383,6
TA-00384,6
TA-00385,2
TA-00386,8
TA-00387,7
TA-00388,8
TA-00390,4
TA-00391,4
TA-00392,6
TA-00393,4
TA-00394,8
TA-00395,8
TA-00398,1
TA-00399,1
TA-00400,1
TA-00401,1
